Date and Time,Price,Volume
2011/07/31 22:38:45.108,1205.0,1
2011/07/31 22:38:45.934,1005.0,1
2011/07/31 22:38:47.008,1304.75,6
2011/07/31 22:38:48.944,1904.75,1
2011/07/31 22:38:52.951,1304.75,20
2011/07/31 22:38:52.951,1304.75,1
2011/07/31 22:38:52.951,1304.75,5
2011/07/31 22:38:56.589,1304.5,1
2011/07/31 22:38:57.858,1304.5,1
2011/07/31 22:39:08.695,1304.5,1
2011/07/31 22:39:09.396,1304.5,1
2011/07/31 22:39:20.495,1304.5,1
2011/07/31 22:39:23.937,1304.5,1
2011/07/31 22:39:23.937,1304.5,5
2011/07/31 22:39:23.937,1304.5,1
2011/07/31 22:39:26.084,1304.5,1
2011/07/31 22:39:26.084,1304.5,1
2011/07/31 22:39:26.095,1304.5,4
2011/07/31 22:39:26.743,1304.5,11
2011/07/31 22:39:26.801,1304.5,9
2011/07/31 22:39:27.050,1304.5,1
2011/07/31 22:39:27.274,1304.5,1
2011/07/31 22:39:28.914,1304.5,1
2011/07/31 22:39:28.965,1304.5,6
2011/07/31 22:39:28.965,1304.5,1
2011/07/31 22:39:28.965,1304.5,1
2011/07/31 22:39:33.568,1304.75,1
2011/07/31 22:39:37.360,1304.5,1
2011/07/31 22:39:37.360,1304.5,1
2011/07/31 22:39:38.991,1304.5,1
2011/07/31 22:39:40.423,1304.5,1
2011/07/31 22:39:51.519,1304.5,1
2011/07/31 22:39:51.519,1304.5,4
2011/07/31 22:39:53.030,1304.5,1
2011/07/31 22:39:55.765,1304.5,1
2011/07/31 22:39:56.614,1304.5,1
2011/07/31 22:39:56.614,1304.5,1
2011/07/31 22:39:56.614,1304.5,5
2011/07/31 22:39:56.614,1304.5,1
2011/07/31 22:39:56.614,1304.5,1
2011/07/31 22:39:59.606,1304.5,10
2011/07/31 22:39:59.606,1304.5,2
2011/07/31 22:39:59.606,1304.5,4
2011/07/31 22:40:01.914,1304.5,1
2011/07/31 22:40:01.914,1304.5,1
2011/07/31 22:40:10.794,1304.75,6
2011/07/31 22:40:11.161,1304.5,4
2011/07/31 22:40:11.168,1304.75,4
2011/07/31 22:40:11.168,1304.75,1
2011/07/31 22:40:11.168,1304.75,1
2011/07/31 22:40:11.168,1304.75,1
2011/07/31 22:40:12.014,1304.5,2
2011/07/31 22:40:12.014,1304.5,3
2011/07/31 22:40:12.014,1304.5,1
2011/07/31 22:40:13.964,1304.75,1
2011/07/31 22:40:14.306,1304.75,1
2011/07/31 22:40:14.514,1304.75,1
2011/07/31 22:40:14.617,1304.75,1
2011/07/31 22:40:14.730,1304.75,1
2011/07/31 22:40:14.822,1304.75,1
2011/07/31 22:40:16.182,1305.0,9
2011/07/31 22:40:16.182,1305.0,1
2011/07/31 22:40:20.267,1304.75,1
2011/07/31 22:40:22.083,1305.0,1
2011/07/31 22:40:28.918,1304.75,1
2011/07/31 22:40:28.918,1304.75,1
2011/07/31 22:40:29.030,1305.0,5
2011/07/31 22:40:29.478,1305.0,3
2011/07/31 22:40:29.478,3305.0,1
2011/07/31 22:40:29.478,205.0,2
2011/07/31 22:40:29.478,1405.0,1
2011/07/31 22:40:29.478,1305.0,1
2011/07/31 22:40:29.478,1305.0,1
2011/07/31 22:40:29.478,1305.0,1
2011/07/31 22:40:29.478,1305.0,1
2011/07/31 22:40:29.478,1305.0,1
2011/07/31 22:40:29.478,1305.0,2
2011/07/31 22:40:29.478,1305.0,1
2011/07/31 22:40:29.478,1305.0,1
2011/07/31 22:40:29.478,1305.0,1
2011/07/31 22:40:29.478,1305.0,1
2011/07/31 22:40:29.478,1305.0,2
2011/07/31 22:40:29.541,1305.0,5
2011/07/31 22:40:29.940,1305.0,1
2011/07/31 22:40:30.694,1305.25,10
2011/07/31 22:40:31.492,1305.25,10
2011/07/31 22:40:31.576,1305.25,5
2011/07/31 22:40:31.576,1305.25,1
2011/07/31 22:40:31.576,1305.25,1
2011/07/31 22:40:31.576,1305.25,2
2011/07/31 22:40:31.576,1305.25,1
2011/07/31 22:40:33.213,1305.25,1
2011/07/31 22:40:41.016,1305.25,1
2011/07/31 22:40:41.849,1305.25,1
2011/07/31 22:40:42.779,1305.0,1
2011/07/31 22:40:44.921,1305.25,5
2011/07/31 22:40:44.921,1305.25,1
2011/07/31 22:40:44.921,1305.25,1
2011/07/31 22:40:44.921,1305.25,2
2011/07/31 22:40:44.921,1305.25,1
